Handle,Title,Body (Html),Vendor,Type,Tags,Published,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Option Fulfill Value,Template
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,L (US Size),,,220405-DACL-401-DA-WY-L,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,XL (US Size),,,220405-DACL-401-DA-WY-XL,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,XXL (US Size),,,220405-DACL-401-DA-WY-XXL,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,3XL (US Size),,,220405-DACL-401-DA-WY-3XL,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,4XL (US Size),,,220405-DACL-401-DA-WY-4XL,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,5XL (US Size),,,220405-DACL-401-DA-WY-5XL,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,S (US Size),,,220405-DACL-401-DA-TX-S,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,M (US Size),,,220405-DACL-401-DA-TX-M,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,L (US Size),,,220405-DACL-401-DA-TX-L,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,XL (US Size),,,220405-DACL-401-DA-TX-XL,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,XXL (US Size),,,220405-DACL-401-DA-TX-XXL,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,3XL (US Size),,,220405-DACL-401-DA-TX-3XL,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,4XL (US Size),,,220405-DACL-401-DA-TX-4XL,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,T-Shirt,,5XL (US Size),,,220405-DACL-401-DA-TX-5XL,0,,0,continue,manual,29.99,38.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,S (US Size),,,220405-DACL-401-DA-LLY-S,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,M (US Size),,,220405-DACL-401-DA-LLY-M,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,L (US Size),,,220405-DACL-401-DA-LLY-L,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,XL (US Size),,,220405-DACL-401-DA-LLY-XL,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,XXL (US Size),,,220405-DACL-401-DA-LLY-XXL,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,3XL (US Size),,,220405-DACL-401-DA-LLY-3XL,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,4XL (US Size),,,220405-DACL-401-DA-LLY-4XL,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Zipped Hoodie,,5XL (US Size),,,220405-DACL-401-DA-LLY-5XL,0,,0,continue,manual,54.99,71.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,g,,0,,,,
